L,p,f,steps,param_id,run_id,num_fires,mean_size,max_size,remaining_trees,raw_file
100,0.1,0.010000000000000002,100,5,0,3304,20.697033898305083,286,2901,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param5_L100_p0.1_f0.010000000000000002_steps100_id0_20260124T164317Z.csv
100,0.1,0.1,100,7,0,21441,3.799962688307448,55,1753,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param7_L100_p0.1_f0.1_steps100_id0_20260124T164317Z.csv
100,0.1,0.05,100,6,0,12724,6.019176359635335,65,2170,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param6_L100_p0.1_f0.05_steps100_id0_20260124T164317Z.csv
100,0.1,0.005000000000000001,100,4,0,1688,38.63092417061611,851,3223,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param4_L100_p0.1_f0.005000000000000001_steps100_id0_20260124T164317Z.csv
100,0.1,0.0001,100,1,0,36,1520.6944444444443,7927,5526,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param1_L100_p0.1_f0.0001_steps100_id0_20260124T164317Z.csv
100,0.1,0.0005,100,2,0,194,311.41752577319585,5300,3589,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param2_L100_p0.1_f0.0005_steps100_id0_20260124T164317Z.csv
100,0.1,0.001,100,3,0,376,164.9494680851064,1896,3370,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param3_L100_p0.1_f0.001_steps100_id0_20260124T164318Z.csv
150,0.1,0.0001,100,8,0,87,1552.7471264367816,14958,4642,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param8_L150_p0.1_f0.0001_steps100_id0_20260124T164321Z.csv
150,0.1,0.010000000000000002,100,12,0,7249,21.282659677196854,384,6483,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param12_L150_p0.1_f0.010000000000000002_steps100_id0_20260124T164323Z.csv
150,0.1,0.1,100,14,0,48186,3.8185157514630808,46,3885,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param14_L150_p0.1_f0.1_steps100_id0_20260124T164323Z.csv
150,0.1,0.05,100,13,0,28317,6.103188897128933,80,4798,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param13_L150_p0.1_f0.05_steps100_id0_20260124T164323Z.csv
150,0.1,0.001,100,10,0,799,172.4918648310388,3370,9472,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param10_L150_p0.1_f0.001_steps100_id0_20260124T164323Z.csv
150,0.1,0.0005,100,9,0,436,308.7889908256881,4417,9459,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param9_L150_p0.1_f0.0005_steps100_id0_20260124T164324Z.csv
150,0.1,0.005000000000000001,100,11,0,3857,38.463313456053925,846,6980,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param11_L150_p0.1_f0.005000000000000001_steps100_id0_20260124T164324Z.csv
256,0.1,0.0001,100,15,0,239,1635.1506276150628,27138,26533,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param15_L256_p0.1_f0.0001_steps100_id0_20260124T164337Z.csv
256,0.1,0.05,100,20,0,82240,6.141330252918288,92,14130,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param20_L256_p0.1_f0.05_steps100_id0_20260124T164338Z.csv
256,0.1,0.0005,100,16,0,1311,304.98779557589626,5440,24751,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param16_L256_p0.1_f0.0005_steps100_id0_20260124T164339Z.csv
256,0.1,0.010000000000000002,100,19,0,21084,21.323752608613166,518,18672,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param19_L256_p0.1_f0.010000000000000002_steps100_id0_20260124T164339Z.csv
256,0.1,0.1,100,21,0,140446,3.8144340173447446,53,11029,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param21_L256_p0.1_f0.1_steps100_id0_20260124T164339Z.csv
256,0.1,0.001,100,17,0,2394,170.70342522974101,4352,21754,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param17_L256_p0.1_f0.001_steps100_id0_20260124T164340Z.csv
256,0.1,0.005000000000000001,100,18,0,11148,38.808127018299245,1126,20907,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param18_L256_p0.1_f0.005000000000000001_steps100_id0_20260124T164341Z.csv
400,0.1,0.0001,100,22,0,615,1559.8422764227641,57756,59722,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param22_L400_p0.1_f0.0001_steps100_id0_20260124T164412Z.csv
400,0.1,0.1,100,28,0,341614,3.836900712500073,67,26322,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param28_L400_p0.1_f0.1_steps100_id0_20260124T164416Z.csv
400,0.1,0.05,100,27,0,200668,6.133075527737358,107,34424,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param27_L400_p0.1_f0.05_steps100_id0_20260124T164417Z.csv
400,0.1,0.010000000000000002,100,26,0,51203,21.463898599691426,546,45392,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param26_L400_p0.1_f0.010000000000000002_steps100_id0_20260124T164419Z.csv
400,0.1,0.0005,100,23,0,3024,324.4940476190476,12898,57829,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param23_L400_p0.1_f0.0005_steps100_id0_20260124T164420Z.csv
400,0.1,0.005000000000000001,100,25,0,27228,38.875826355222564,932,50900,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param25_L400_p0.1_f0.005000000000000001_steps100_id0_20260124T164420Z.csv
400,0.1,0.001,100,24,0,5829,171.65277062961056,10675,53765,C:\Users\rorka\PycharmProjects\AIHealth\CSS_project-19\data\figuresRohan\experiment_2\fires_param24_L400_p0.1_f0.001_steps100_id0_20260124T164421Z.csv
